SampleID,rarefiedReads
6744407,100000
6744409,100000
6744410,100000
6744411,88841
6744412,100000
6744413,100000
6744414,100000
6744416,100000
6744417,25854
6744418,100000
6744419,100000
6744420,53743
6744424,59953
6744425,100000
6744426,100000
6744427,100000
6744428,100000
6744430,5561
6744433,100000
6744435,100000
6744437,100000
6744438,100000
6744439,100000
6744440,100000
6744447,100000
6744449,100000
6744450,82839
6744451,100000
6744452,100000
6744453,100000
6744456,45
6744457,100000
6744459,100000
6744462,40714
6744463,100000
6744466,85874
6744467,100000
6744469,100000
6744472,100000
6744473,100000
6744474,100000
6744475,100000
6744478,100000
6744479,87808
6744483,100000
6744486,100000
6744489,100000
6744491,100000
6744492,29664
6744493,100000
6744494,100000
6744495,100000
6744496,100000
6744498,100000
6744500,100000
6744502,100000
6744503,100000
6744504,100000
6744505,100000
6744506,100000
6744508,100000
6744509,100000
6744510,100000
6744511,100000
6744512,100000
6744513,100000
6744514,100000
6744515,100000
6744516,100000
6744520,1688
6744522,100000
6744524,100000
6744525,0
6744526,100000
6744527,100000
6744531,100000
6744532,100000
6744533,100000
6744534,0
6744536,100000
6744537,26812
6744538,7163
6744540,100000
6744541,94847
6744542,88994
6744543,100000
6744544,29466
6744545,100000
6744548,100000
6744549,40225
6744550,100000
6744551,100000
6744552,100000
6744554,100000
6744555,0
6744556,100000
6744557,100000
6744558,100000
6744559,28993
6744560,100000
6744561,100000
6744566,100000
6744568,100000
6744569,100000
6744570,100000
6744572,100000
6744573,100000
6744575,100000
6744577,100000
6744579,100000
6744580,100000
6744582,100000
6744583,100000
6744586,100000
6744587,100000
6744588,72791
6744589,100000
6744590,100000
6744591,100000
6744594,27839
6744596,100000
6744597,100000
6744602,100000
6744604,100000
6744605,100000
6744607,100000
6744608,100000
6744610,100000
6744612,100000
6744614,100000
6744615,100000
6744617,100000
6744618,46
6744621,100000
6744622,100000
6744624,81435
6744626,20462
6744627,100000
6744628,100000
6744631,100000
6744633,100000
6744634,100000
6744637,84457
6744640,37645
6744642,32206
6744643,100000
6744644,100000
6744645,0
6744646,4690
6744647,100000
6744648,100000
6744650,100000
6744651,100000
6744652,100000
6744654,100000
6744655,100000
6744657,100000
6744659,100000
6744660,100000
6744661,100000
6744662,100000
6744666,100000
6744668,100000
6744670,0
6744672,100000
6744675,100000
6744676,55167
6744677,100000
6744678,100000
6744681,100000
6744682,9351
6744683,100000
6744686,100000
6744687,100000
6744688,100000
6744690,100000
6744692,100000
6744693,41182
6744694,100000
6744697,100000
6744698,62583
6744699,100000
6744700,100000
6744703,100000
6744704,100000
6744706,100000
6744709,59217
6744711,100000
6744712,100000
6744714,100000
6744715,100000
6744716,100000
6744717,100000
6744719,100000
6744720,100000
6744721,100000
6744722,100000
6744724,100000
6744725,100000
6744727,100000
6744728,100000
6744730,100000
6744732,100000
6744734,100000
6744736,100000
6744737,683
6744738,100000
6744740,100000
6744741,100000
6744742,61643
6744743,100000
6744744,100000
6744746,100000
6744748,100000
6744750,100000
6744751,100000
6744752,100000
6744753,100000
6744754,63658
6744755,100000
6744757,100000
6744761,100000
6744762,100000
6744763,100000
6744764,100000
6744765,100000
6744767,100000
6744768,0
6744769,100000
6744771,100000
6744772,27718
6744773,100000
6744774,1388
6744775,100000
6744776,360
6744781,100000
6744782,100000
6744784,100000
6744785,100000
6744786,100000
6744787,100000
6744788,100000
6744789,100000
6744791,83316
6744792,100000
6744795,43953
6744797,100000
6744798,100000
6744799,100000
6744801,100000
6744802,100000
6744806,100000
6744807,100000
6744808,100000
6744812,0
6744813,37411
6744814,27420
6744816,100000
6744817,0
6744818,100000
6744820,100000
6744821,100000
6744822,100000
6744823,100000
6744824,100000
6744825,100000
6744827,100000
6744828,100000
6744830,100000
6744834,100000
6744836,100000
6744837,100000
6744838,100000
6744839,100000
6744841,100000
6744843,100000
6744844,100000
6744845,93559
6744846,100000
6744847,100000
6744848,100000
6744849,100000
6744850,100000
6744851,100000
6744852,100000
6744853,100000
6744854,11712
6744855,0
6744856,37222
6744857,100000
6744861,0
6744863,48317
6744864,100000
6744865,100000
6744867,100000
6744868,11053
6744869,100000
6744870,100000
6744871,100000
6744872,100000
6744873,100000
6744874,100000
6744876,100000
6744879,100000
6744880,100000
6744881,100000
6744882,100000
6744885,100000
6744886,100000
6744887,100000
6744888,100000
6744891,55529
6744892,100000
6744893,100000
6744895,100000
6744899,39482
6744900,100000
6744903,100000
6744904,100000
6744905,100000
6744906,100000
6744907,100000
6744908,86906
6744909,60864
6744910,100000
6744911,100000
6744912,100000
6744913,100000
6744919,100000
6744921,100000
6744922,100000
6744923,100000
6744924,80620
6744927,100000
6744929,100000
6744932,100000
6744933,100000
6744934,100000
6744936,100000
6744937,100000
6744938,100000
6744939,100000
6744942,100000
6744943,100000
6744944,100000
6744946,100000
6744947,100000
6744948,100000
6744950,100000
6744951,0
6744952,100000
6744953,100000
6744954,100000
6744956,100000
6744957,100000
6744958,60379
6744959,3334
6744960,5206
6744963,100000
6744964,100000
6744965,100000
6744966,100000
6744967,0
6744968,100000
6744969,100000
6744970,100000
6744974,100000
6744975,51391
6744978,100000
6744979,79304
6744983,79371
6744984,100000
6744987,100000
6744988,100000
6744989,39783
6744990,100000
6744993,100000
6744994,100000
6744995,100000
6744996,100000
6744997,59529
6745000,100000
6745002,100000
6745003,100000
6745006,35000
6745007,100000
6745008,100000
6745009,100000
6745010,75724
6745011,41238
6745013,100000
6745014,46638
6745017,0
6745018,69591
6745019,100000
6745021,100000
6745022,0
6745023,100000
6745024,100000
6745025,100000
6745027,100000
6745028,90923
6745029,100000
6745030,100000
6745031,100000
6745033,100000
6745034,100000
6745035,27153
6745036,64281
6745037,24024
6745038,44572
6745039,100000
6745040,100000
6745041,100000
6745042,100000
6745043,79196
6745046,75670
6745047,100000
6745048,100000
6745050,100000
6745051,100000
6745052,0
6745053,100000
6745056,51572
6745057,59996
6745059,100000
6745060,59104
6745061,52607
6745062,100000
6745063,47800
6745064,0
6745065,0
6745066,100000
6745069,62301
6745070,100000
6745071,0
6745072,0
6745073,34990
6745074,100000
6745075,100000
6745076,100000
6745077,32678
6745078,32402
6745079,0
6745080,100000
6745081,100000
6745082,100000
6745085,100000
6745088,0
6745089,57561
6745090,100000
6745091,47340
6745092,0
6745093,0
6745094,77741
6745095,40497
6745096,69991
6745097,100000
6745099,42403
6745101,47551
6745102,78657
6745103,100000
6745104,100000
6745110,95527
6745111,100000
6745112,60270
6745113,100000
6745114,32271
6745115,54242
6745116,55866
6745120,74986
6745121,26648
6745123,0
6745124,100000
6745125,0
6745126,100000
6745127,0
6745128,100000
6745130,0
6745131,100000
6745132,51385
6745133,100000
6745135,63072
6745136,48779
6745137,0
6745141,35090
6745143,98490
6745144,0
6745145,98198
6745146,90982
6745147,0
6745148,82603
6745149,100000
6745150,100000
6745151,100000
6745152,16334
6745153,100000
6745155,0
6745158,0
6745160,100000
6745162,0
6745164,31118
6745166,100000
6745167,68366
6745168,74700
6745170,45618
6745171,23736
6745172,100000
6745174,24668
6745175,0
6745176,75309
6745177,43767
6745178,34949
6745181,63665
6745183,100000
6745184,47975
6745186,100000
