SampleID	SpeciesNumber	n	propGenomospecies	Genomospecies
1061635368	1	599	0.27886405959031657	1
1061635368	2	42	0.019553072625698324	2
1061635368	3	2	9.31098696461825e-4	3
1061635368	4	3	0.0013966480446927375	4
1061635368	5	337	0.1568901303538175	5
1061635368	6	1126	0.5242085661080075	6
1061635368	8	22	0.010242085661080074	8
1061635368	10	16	0.0074487895716946	10
1061635368	13	1	4.655493482309125e-4	13
1062101108	1	1128	0.891699604743083	1
1062101108	2	118	0.0932806324110672	2
1062101108	3	5	0.003952569169960474	3
1062101108	4	14	0.011067193675889328	4
1062101238	1	224	0.9256198347107438	1
1062101238	2	16	0.06611570247933884	2
1062101238	4	2	0.008264462809917356	4
1062101338	1	148	0.896969696969697	1
1062101338	2	15	0.09090909090909091	2
1062101338	3	1	0.006060606060606061	3
1062101338	4	1	0.006060606060606061	4
1062601228	1	22	1	1
1062601258	1	3	0.75	1
1062601258	2	1	0.25	2
1062601368	1	14	1	1
1062701128	1	21	0.01721311475409836	1
1062701128	2	56	0.04590163934426229	2
1062701128	3	5	0.004098360655737705	3
1062701128	4	14	0.011475409836065573	4
1062701128	5	50	0.040983606557377046	5
1062701128	6	6	0.004918032786885246	6
1062701128	7	677	0.5549180327868852	7
1062701128	8	118	0.09672131147540984	8
1062701128	9	11	0.009016393442622951	9
1062701128	10	15	0.012295081967213115	10
1062701128	12	234	0.1918032786885246	12
1062701128	13	13	0.010655737704918032	13
1062701298	1	3	0.0057361376673040155	1
1062701298	3	1	0.0019120458891013384	3
1062701298	4	14	0.02676864244741874	4
1062701298	5	499	0.9541108986615678	5
1062701298	6	4	0.0076481835564053535	6
1062701298	7	1	0.0019120458891013384	7
1062701298	13	1	0.0019120458891013384	13
1062735148	1	16	0.008854454897620365	1
1062735148	2	27	0.014941892639734366	2
1062735148	4	15	0.008301051466519093	4
1062735148	5	63	0.034864416159380185	5
1062735148	6	14	0.00774764803541782	6
1062735148	7	1131	0.6258992805755396	7
1062735148	8	204	0.11289429994465966	8
1062735148	9	27	0.014941892639734366	9
1062735148	10	13	0.007194244604316547	10
1062735148	12	266	0.14720531267293857	12
1062735148	13	31	0.01715550636413946	13
1062735198	1	53	0.03002832861189802	1
1062735198	2	120	0.0679886685552408	2
1062735198	3	23	0.013031161473087818	3
1062735198	4	100	0.056657223796033995	4
1062735198	5	39	0.02209631728045326	5
1062735198	6	11	0.006232294617563739	6
1062735198	7	391	0.22152974504249293	7
1062735198	8	364	0.20623229461756373	8
1062735198	9	64	0.036260623229461754	9
1062735198	10	30	0.0169971671388102	10
1062735198	11	1	5.665722379603399e-4	11
1062735198	12	425	0.24079320113314448	12
1062735198	13	144	0.08158640226628895	13
1062901138	1	399	0.22129783693843594	1
1062901138	2	42	0.02329450915141431	2
1062901138	3	2	0.0011092623405435386	3
1062901138	5	27	0.014975041597337771	5
1062901138	6	1320	0.7321131447587355	6
1062901138	8	1	5.546311702717693e-4	8
1062901138	12	12	0.0066555740432612314	12
1062901218	1	534	0.270516717325228	1
1062901218	2	50	0.025329280648429583	2
1062901218	3	7	0.0035460992907801418	3
1062901218	4	6	0.00303951367781155	4
1062901218	5	16	0.008105369807497468	5
1062901218	6	1345	0.6813576494427558	6
1062901218	8	1	5.065856129685917e-4	8
1062901218	12	15	0.007598784194528876	12
1062901318	1	127	0.15319662243667068	1
1062901318	2	11	0.013268998793727383	2
1062901318	3	5	0.006031363088057901	3
1062901318	5	6	0.007237635705669481	5
1062901318	6	621	0.7490952955367913	6
1062901318	12	59	0.07117008443908324	12
1900401198	1	1055	0.6440781440781441	1
1900401198	2	149	0.09096459096459096	2
1900401198	3	4	0.002442002442002442	3
1900401198	4	14	0.008547008547008548	4
1900401198	5	5	0.0030525030525030525	5
1900401198	6	228	0.1391941391941392	6
1900401198	10	12	0.007326007326007326	10
1900401198	12	171	0.1043956043956044	12
1900401288	1	31	0.003432240921169176	1
1900401288	2	6	6.643046944198405e-4	2
1900401288	3	3	3.3215234720992027e-4	3
1900401288	4	22	0.0024357838795394152	4
1900401288	5	1	1.1071744906997343e-4	5
1900401288	8	2	2.2143489813994686e-4	8
1900401288	9	2	2.2143489813994686e-4	9
1900401288	10	1	1.1071744906997343e-4	10
1900401288	12	8964	0.9924712134632419	12
1900401398	1	69	0.014566181127295756	1
1900401398	2	3	6.333122229259025e-4	2
1900401398	3	32	0.006755330377876293	3
1900401398	4	47	0.009921891492505806	4
1900401398	9	4	8.444162972345366e-4	9
1900401398	10	2	4.222081486172683e-4	10
1900401398	12	4580	0.9668566603335444	12
1902401118	1	119	0.11333333333333333	1
1902401118	2	42	0.04	2
1902401118	5	40	0.0380952380952381	5
1902401118	6	836	0.7961904761904762	6
1902401118	8	1	9.523809523809524e-4	8
1902401118	10	12	0.011428571428571429	10
1902401208	1	62	0.05312767780634105	1
1902401208	2	30	0.02570694087403599	2
1902401208	5	61	0.05227077977720651	5
1902401208	6	1009	0.8646101113967438	6
1902401208	10	5	0.004284490145672665	10
1902401308	1	216	0.15200562983814214	1
1902401308	2	52	0.036593947923997186	2
1902401308	3	1	7.037297677691766e-4	3
1902401308	5	59	0.04152005629838142	5
1902401308	6	1085	0.7635467980295566	6
1902401308	10	7	0.0049261083743842365	10
1902401308	11	1	7.037297677691766e-4	11
2050501168	3	1	0.02631578947368421	3
2050501168	4	11	0.2894736842105263	4
2050501168	5	25	0.6578947368421053	5
2050501168	6	1	0.02631578947368421	6
2050501298	5	118	0.9672131147540983	5
2050501298	6	4	0.03278688524590164	6
2050501348	3	2	0.028169014084507043	3
2050501348	4	13	0.18309859154929578	4
2050501348	5	52	0.7323943661971831	5
2050501348	6	4	0.056338028169014086	6
4002101198	1	74	0.014260936596646753	1
4002101198	2	506	0.09751397186355752	2
4002101198	3	92	0.017729813066101368	3
4002101198	4	184	0.035459626132202736	4
4002101198	5	26	0.005010599344767778	5
4002101198	6	3203	0.6172672962035074	6
4002101198	7	359	0.06918481402967816	7
4002101198	8	19	0.003661591828868761	8
4002101198	9	118	0.022740412410869146	9
4002101198	10	15	0.0028907303912121796	10
4002101198	11	1	1.927153594141453e-4	11
4002101198	12	495	0.09539410291000193	12
4002101198	13	97	0.018693389863172094	13
4002101298	2	7	0.008215962441314555	2
4002101298	3	544	0.6384976525821596	3
4002101298	4	235	0.27582159624413144	4
4002101298	5	33	0.03873239436619718	5
4002101298	6	1	0.0011737089201877935	6
4002101298	9	32	0.03755868544600939	9
4002135018	1	43	0.005531969638492217	1
4002135018	2	54	0.006947124662292551	2
4002135018	3	2030	0.26116042711951626	3
4002135018	4	466	0.059951112826450534	4
4002135018	6	27	0.0034735623311462757	6
4002135018	9	22	0.002830310047600669	9
4002135018	10	5129	0.6598481924610833	10
4002135018	13	2	2.5730091341824265e-4	13
4003235018	1	1	2.6616981634282674e-4	1
4003235018	3	20	0.005323396326856534	3
4003235018	4	156	0.04152249134948097	4
4003235018	5	3570	0.9502262443438914	5
4003235018	6	7	0.0018631887143997872	6
4003235018	7	3	7.985094490284802e-4	7
4003235288	1	38	0.019338422391857506	1
4003235288	2	74	0.037659033078880404	2
4003235288	4	4	0.002035623409669211	4
4003235288	5	40	0.020356234096692113	5
4003235288	7	1806	0.9190839694656489	7
4003235288	8	3	0.0015267175572519084	8
4003235368	1	262	0.06768276931025574	1
4003235368	2	470	0.12141565486954276	2
4003235368	3	7	0.0018083182640144665	3
4003235368	4	15	0.0038749677086024285	4
4003235368	5	1790	0.4624128132265564	5
4003235368	6	18	0.004649961250322914	6
4003235368	7	1308	0.33789718419013176	7
4003235368	13	1	2.583311805734952e-4	13
4004235208	1	4	0.001455604075691412	1
4004235208	2	18	0.006550218340611353	2
4004235208	3	13	0.004730713245997089	3
4004235208	4	22	0.008005822416302766	4
4004235208	7	2557	0.9304949053857351	7
4004235208	8	3	0.001091703056768559	8
4004235208	11	97	0.03529839883551674	11
4004235208	12	2	7.27802037845706e-4	12
4004235208	13	32	0.011644832605531296	13
4004235248	1	15	0.002497918401332223	1
4004235248	2	39	0.00649458784346378	2
4004235248	3	9	0.001498751040799334	3
4004235248	4	20	0.0033305578684429643	4
4004235248	5	11	0.0018318068276436303	5
4004235248	6	1	1.6652789342214822e-4	6
4004235248	7	2849	0.47443796835970026	7
4004235248	8	14	0.002331390507910075	8
4004235248	9	18	0.002997502081598668	9
4004235248	10	3	4.995836802664446e-4	10
4004235248	11	2576	0.4289758534554538	11
4004235248	12	74	0.012323064113238967	12
4004235248	13	376	0.06261448792672773	13
4004235268	1	7	0.005982905982905983	1
4004235268	2	27	0.023076923076923078	2
4004235268	3	2	0.0017094017094017094	3
4004235268	4	1	8.547008547008547e-4	4
4004235268	7	625	0.5341880341880342	7
4004235268	8	1	8.547008547008547e-4	8
4004235268	9	1	8.547008547008547e-4	9
4004235268	11	74	0.06324786324786325	11
4004235268	12	419	0.3581196581196581	12
4004235268	13	13	0.011111111111111112	13
4004735328	1	54	0.14835164835164835	1
4004735328	2	77	0.21153846153846154	2
4004735328	3	4	0.01098901098901099	3
4004735328	4	2	0.005494505494505495	4
4004735328	5	160	0.43956043956043955	5
4004735328	6	2	0.005494505494505495	6
4004735328	11	1	0.0027472527472527475	11
4004735328	12	49	0.1346153846153846	12
4004735328	13	15	0.04120879120879121	13
4004735368	1	43	0.16796875	1
4004735368	2	43	0.16796875	2
4004735368	3	1	0.00390625	3
