ID	1000801248_metaphlan_bugs_list	1000801318_metaphlan_bugs_list	1000801368_metaphlan_bugs_list	1001301158_metaphlan_bugs_list	1001301248_metaphlan_bugs_list	1001301318_metaphlan_bugs_list	1001801138_metaphlan_bugs_list	1001801248_metaphlan_bugs_list	1001801318_metaphlan_bugs_list	1002701138_metaphlan_bugs_list	1002701158_metaphlan_bugs_list	1002701278_metaphlan_bugs_list	1003101118_metaphlan_bugs_list	1003101188_metaphlan_bugs_list	1003101278_metaphlan_bugs_list	1004001168_metaphlan_bugs_list	1004001278_metaphlan_bugs_list	1004001348_metaphlan_bugs_list	1005601098_metaphlan_bugs_list	1005601168_metaphlan_bugs_list	1005601348_metaphlan_bugs_list	1050801308_metaphlan_bugs_list	1050801318_metaphlan_bugs_list	1050835178_metaphlan_bugs_list	1050835218_metaphlan_bugs_list	1060435158_metaphlan_bugs_list	1060435318_metaphlan_bugs_list	1060435348_metaphlan_bugs_list	1060801198_metaphlan_bugs_list	1060801338_metaphlan_bugs_list	1060835148_metaphlan_bugs_list	1061235118_metaphlan_bugs_list	1061235188_metaphlan_bugs_list	1061235278_metaphlan_bugs_list	1061635088_metaphlan_bugs_list	1061635208_metaphlan_bugs_list	1061635368_metaphlan_bugs_list	1062101108_metaphlan_bugs_list	1062101238_metaphlan_bugs_list	1062101338_metaphlan_bugs_list	1062301128_metaphlan_bugs_list	1062301198_metaphlan_bugs_list	1062335178_metaphlan_bugs_list	1062601228_metaphlan_bugs_list	1062601258_metaphlan_bugs_list	1062601368_metaphlan_bugs_list	1062701128_metaphlan_bugs_list	1062701298_metaphlan_bugs_list	1062735148_metaphlan_bugs_list	1062735198_metaphlan_bugs_list	1062901138_metaphlan_bugs_list	1062901218_metaphlan_bugs_list	1062901318_metaphlan_bugs_list	1900401198_metaphlan_bugs_list	1900401288_metaphlan_bugs_list	1900401398_metaphlan_bugs_list	1902401118_metaphlan_bugs_list	1902401208_metaphlan_bugs_list	1902401308_metaphlan_bugs_list	2050501168_metaphlan_bugs_list	2050501298_metaphlan_bugs_list	2050501348_metaphlan_bugs_list	4002101198_metaphlan_bugs_list	4002101298_metaphlan_bugs_list	4002135018_metaphlan_bugs_list	4003235018_metaphlan_bugs_list	4003235288_metaphlan_bugs_list	4003235368_metaphlan_bugs_list	4004235208_metaphlan_bugs_list	4004235248_metaphlan_bugs_list	4004235268_metaphlan_bugs_list	4004735328_metaphlan_bugs_list	4004735368_metaphlan_bugs_list	4004935158_metaphlan_bugs_list	4004935268_metaphlan_bugs_list	4004935338_metaphlan_bugs_list	4005935278_metaphlan_bugs_list	4005935328_metaphlan_bugs_list	4005935358_metaphlan_bugs_list	4006635198_metaphlan_bugs_list	4006635258_metaphlan_bugs_list	4006635278_metaphlan_bugs_list	4006635338_metaphlan_bugs_list	4006935208_metaphlan_bugs_list	4006935248_metaphlan_bugs_list	4006935358_metaphlan_bugs_list	4007135108_metaphlan_bugs_list	4007135118_metaphlan_bugs_list	4007135148_metaphlan_bugs_list	4007135288_metaphlan_bugs_list	4007235168_metaphlan_bugs_list	4007235278_metaphlan_bugs_list	4007435168_metaphlan_bugs_list	4007435248_metaphlan_bugs_list	4007435258_metaphlan_bugs_list	4007535198_metaphlan_bugs_list	4007535238_metaphlan_bugs_list	4007535358_metaphlan_bugs_list	4008434348_metaphlan_bugs_list	4008435158_metaphlan_bugs_list	4008435358_metaphlan_bugs_list	4009035168_metaphlan_bugs_list	4009035268_metaphlan_bugs_list	4009035368_metaphlan_bugs_list	4009835178_metaphlan_bugs_list	4009835228_metaphlan_bugs_list	4009835268_metaphlan_bugs_list
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	36.10516	21.88211	31.27904	49.35132	59.88389	68.25549	15.88152	48.41691	54.19686	85.20256	93.34927	31.05834	81.5751	96.6739	91.36213	58.84549	27.29455	23.41863	35.37184	62.95882	19.88142	0.23645	0.0	0.75273	0.0	0.0	0.39448	0.25268	0.0	0.0	0.0	0.1884	16.4642	1.57634	69.13326	89.585	66.3779	98.0609	49.6	61.70446	0.0	0.0	0.0	18.24305	6.69889	2.14956	54.76984	18.01963	53.04881	51.32046	70.71677	65.8232	66.5483	15.75547	15.5764	9.57401	65.68914	85.14487	81.87367	14.65873	11.62612	13.20469	75.03465	43.25291	80.90902	52.60603	80.6886	69.10882	49.06034	52.38375	40.7284	37.77081	54.98329	62.8813	79.25808	73.06891	70.90657	23.08453	0.3788	86.50219	83.19262	89.02367	53.98611	70.19409	89.97758	69.44361	68.64088	63.9408	38.44877	28.11027	38.92359	63.46548	52.85673	86.54684	54.63742	45.77377	0.0	61.82043	22.36293	45.02001	0.0	76.73961	89.81537	69.55722	23.34926	32.34515	26.35477
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	36.10516	21.88211	31.27904	49.35132	59.88389	68.25549	15.88152	48.41691	54.19686	85.20256	93.34927	31.05834	81.5751	96.6739	91.36213	58.84549	27.29455	23.41863	35.37184	62.95882	19.88142	0.23645	0.0	0.75273	0.0	0.0	0.39448	0.25268	0.0	0.0	0.0	0.1884	16.4642	1.57634	69.13326	89.585	66.3779	98.0609	49.6	61.70446	0.0	0.0	0.0	18.24305	6.69889	2.14956	54.76984	18.01963	53.04881	51.32046	70.71677	65.8232	66.5483	15.75547	15.5764	9.57401	65.68914	85.14487	81.87367	14.65873	11.62612	13.20469	75.03465	43.25291	80.90902	52.60603	80.6886	69.10882	49.06034	52.38375	40.7284	37.77081	54.98329	62.8813	79.25808	73.06891	70.90657	23.08453	0.3788	86.50219	83.19262	89.02367	53.98611	70.19409	89.97758	69.44361	68.64088	63.9408	38.44877	28.11027	38.92359	63.46548	52.85673	86.54684	54.63742	45.77377	0.0	61.82043	22.36293	45.02001	0.0	76.73961	89.81537	69.55722	23.34926	32.34515	26.35477
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis|t__Gardnerella_vaginalis_unclassified	36.10516	21.88211	31.27904	49.35132	59.88389	68.25549	15.88152	48.41691	54.19686	85.20256	93.34927	31.05834	81.5751	96.6739	91.36213	58.84549	27.29455	23.41863	35.37184	62.95882	19.88142	0.23645	0.0	0.75273	0.0	0.0	0.39448	0.25268	0.0	0.0	0.0	0.1884	16.4642	1.57634	69.13326	89.585	66.3779	98.0609	49.6	61.70446	0.0	0.0	0.0	18.24305	6.69889	2.14956	54.76984	18.01963	53.04881	51.32046	70.71677	65.8232	66.5483	15.75547	15.5764	9.57401	65.68914	85.14487	81.87367	14.65873	11.62612	13.20469	75.03465	43.25291	80.90902	52.60603	80.6886	69.10882	49.06034	52.38375	40.7284	37.77081	54.98329	62.8813	79.25808	73.06891	70.90657	23.08453	0.3788	86.50219	83.19262	89.02367	53.98611	70.19409	89.97758	69.44361	68.64088	63.9408	38.44877	28.11027	38.92359	63.46548	52.85673	86.54684	54.63742	45.77377	0.0	61.82043	22.36293	45.02001	0.0	76.73961	89.81537	69.55722	23.34926	32.34515	26.35477
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.0	0.0	0.0	26.16874	12.64992	1.94636	3.4112	2.55027	0.08382	9.44625	5.98236	0.30587	11.54865	0.0	4.76221	0.0	0.0	0.0	7.4881	12.78934	3.52191	0.0	0.0	0.01262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00369	2.37996	0.14172	23.44529	1.73062	15.97851	0.2103	45.13302	36.2044	0.0	0.08786	0.0	0.0	0.0	0.0	24.17758	0.15188	25.91492	22.80886	4.89564	3.37458	1.27714	9.9602	15.28829	12.52208	11.48943	6.33957	3.47423	0.38	0.38469	0.43351	1.10352	24.56238	5.87154	0.0	0.6455	0.57401	19.67599	28.71793	32.73982	1.80405	0.62804	19.5589	4.27675	5.91567	2.85732	0.45289	0.0	1.84337	2.21343	4.07664	1.6302	5.42366	5.16416	11.20909	2.64391	4.30046	1.76324	0.64122	57.14755	35.70796	4.21739	3.35783	0.0	0.0	0.0	15.6286	0.0	9.93546	0.0	16.5907	1.48191	14.14514	15.12087	5.39044	11.78988
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.0	0.0	0.0	26.16874	12.64992	1.94636	3.4112	2.55027	0.08382	9.44625	5.98236	0.30587	11.54865	0.0	4.76221	0.0	0.0	0.0	7.4881	12.78934	3.52191	0.0	0.0	0.01262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00369	2.37996	0.14172	23.44529	1.73062	15.97851	0.2103	45.13302	36.2044	0.0	0.08786	0.0	0.0	0.0	0.0	24.17758	0.15188	25.91492	22.80886	4.89564	3.37458	1.27714	9.9602	15.28829	12.52208	11.48943	6.33957	3.47423	0.38	0.38469	0.43351	1.10352	24.56238	5.87154	0.0	0.6455	0.57401	19.67599	28.71793	32.73982	1.80405	0.62804	19.5589	4.27675	5.91567	2.85732	0.45289	0.0	1.84337	2.21343	4.07664	1.6302	5.42366	5.16416	11.20909	2.64391	4.30046	1.76324	0.64122	57.14755	35.70796	4.21739	3.35783	0.0	0.0	0.0	15.6286	0.0	9.93546	0.0	16.5907	1.48191	14.14514	15.12087	5.39044	11.78988
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0.0	0.0	0.0	26.16874	12.64471	1.94636	3.36008	2.51893	0.08382	9.44625	5.98236	0.30587	11.54865	0.0	4.76221	0.0	0.0	0.0	7.11018	12.78934	3.50562	0.0	0.0	0.01262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00369	2.37996	0.14172	23.44529	1.73062	15.97851	0.2103	45.13302	36.2044	0.0	0.08786	0.0	0.0	0.0	0.0	24.17758	0.15188	25.91492	22.80886	4.89564	3.37458	1.27714	9.9602	15.28829	12.52208	11.48943	6.33957	3.47423	0.38	0.38469	0.43351	1.10352	24.56238	5.87154	0.0	0.6455	0.57401	19.67599	28.71793	32.73982	1.80405	0.62804	19.5589	4.27675	5.91567	2.85732	0.45289	0.0	1.84337	2.21343	4.07664	1.6302	5.42366	5.16416	11.20909	2.64391	4.30046	1.76324	0.64122	57.14755	35.70796	4.21739	3.35783	0.0	0.0	0.0	15.6286	0.0	9.93546	0.0	16.5907	1.4797	14.14514	14.93089	5.36081	11.76257
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_minutum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00652	0.04514	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_minutum|t__GCF_000364325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00652	0.04514	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum|t__GCF_000024225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae|t__GCF_000174015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_vaginae	0.0	0.0	0.0	26.16874	12.64471	1.94636	3.36008	2.51893	0.08382	9.44625	5.98236	0.0	11.54865	0.0	4.76221	0.0	0.0	0.0	7.0337	12.78745	3.50562	0.0	0.0	0.01262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00369	2.37996	0.14172	23.44529	1.73062	15.97851	0.2103	45.13302	36.2044	0.0	0.0	0.0	0.0	0.0	0.0	24.17758	0.15188	25.91492	22.80886	4.89564	3.37458	1.27714	9.9602	15.28829	12.52208	11.48943	6.33957	3.47423	0.38	0.26007	0.43351	1.10352	24.56118	5.87154	0.0	0.6455	0.57401	19.67599	28.71793	32.73982	1.80405	0.62804	19.5589	4.27675	5.91567	2.85732	0.45289	0.0	1.84337	2.21343	4.07664	1.6302	5.42366	5.16416	11.20909	2.64391	4.30046	1.76324	0.64122	57.14755	35.70796	4.21739	3.35783	0.0	0.0	0.0	15.6286	0.0	9.93546	0.0	16.5907	1.4797	14.14514	14.92437	5.3152	11.76257
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_vaginae|t__Atopobium_vaginae_unclassified	0.0	0.0	0.0	25.15601	12.02092	1.94636	3.13462	2.51893	0.08382	9.44625	5.98236	0.0	11.54865	0.0	4.76221	0.0	0.0	0.0	7.0337	12.78745	3.50562	0.0	0.0	0.01262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00369	2.37996	0.14172	23.22749	0.97172	15.97851	0.2103	45.13302	36.2044	0.0	0.0	0.0	0.0	0.0	0.0	24.17758	0.15188	25.53378	22.53208	4.89564	3.37458	1.27714	9.9602	14.95089	12.52208	11.48943	6.33957	3.47423	0.38	0.26007	0.43351	1.10352	24.56118	5.87154	0.0	0.6455	0.57401	19.67599	28.71793	32.73982	1.80405	0.62804	19.5589	0.4688	0.0	2.85732	0.45289	0.0	0.8272	1.29145	2.25393	1.6302	3.91324	5.16416	10.70586	2.64391	4.30046	1.46833	0.64122	57.14755	35.70796	4.21739	3.20211	0.0	0.0	0.0	15.6286	0.0	9.25508	0.0	15.93591	0.51541	13.90912	13.13282	5.3152	10.25045
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_vaginae|t__GCF_000179715	0.0	0.0	0.0	1.01273	0.62379	0.0	0.22546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21779	0.7589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38115	0.27678	0.0	0.0	0.0	0.0	0.33739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.80796	5.91567	0.0	0.0	0.0	1.01617	0.92197	1.82271	0.0	1.51043	0.0	0.50323	0.0	0.0	0.29491	0.0	0.0	0.0	0.0	0.15572	0.0	0.0	0.0	0.0	0.0	0.68038	0.0	0.6548	0.96429	0.23601	1.79154	0.0	1.51212
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.00348	0.0069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04722	0.02963	0.01682
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_BV3Ac1	0.0	0.0	0.0	0.0	0.0	0.0	0.00348	0.0069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04722	0.02963	0.01682
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_BV3Ac1|t__GCF_000468855	0.0	0.0	0.0	0.0	0.0	0.0	0.00348	0.0069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04722	0.02963	0.01682
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium|s__Cryptobacterium_curtum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium|s__Cryptobacterium_curtum|t__GCF_000023845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00612	0.0	0.0
